id,x,y,centroid,geometry,elevation
6649,-0.965016553798042,-3.122310315240564,0,POINT (86374.72656 445666.875),0.0
6650,-0.9656997955128892,-3.1225183260437457,0,POINT (86267.46875 445640.1875),0.0
6652,-0.9674382612711464,-3.1233466674782773,0,POINT (85992.24219 445526.2813),0.0
6653,-0.9676537827094492,-3.1228722378487968,0,POINT (85962.58594 445600.9375),0.0
6654,-0.9689401042613074,-3.1198164122923857,0,POINT (85787.32813 446081),0.0
6656,-0.9704710054795306,-3.121453884493014,0,POINT (85537.9375 445841.0313),0.0
6657,-0.9726621818354754,-3.122604298803956,0,POINT (85190.21094 445681.125),0.0
6658,-0.9688043099382893,-3.1237545845342263,0,POINT (85777.85156 445474.1563),0.0
6659,-0.968635517247694,-3.1235364001792365,0,POINT (85805.64063 445506.4063),0.0
6660,-0.9677189859577224,-3.12273332861919,0,POINT (85953.57813 445622.8125),0.0
6661,-0.9681763493063268,-3.126165616840588,0,POINT (85856.3 445098.38),0.0
6664,-0.9726326815686304,-3.125591717390874,0,POINT (85171.63281 445221.3438),0.0
6665,-0.9726829702802792,-3.1254642508048187,0,POINT (85164.84375 445241.3438),0.0
6666,-0.973665467440776,-3.1262942595281147,0,POINT (85006.48438 445121.3125),0.0
6667,-0.9734155125268852,-3.127237583995688,0,POINT (85037.82813 444974.25),0.0
6668,-0.9722207204395688,-3.126732636061041,0,POINT (85226.5 445042.625),0.0
6669,-0.9724218321166652,-3.1304234230632124,0,POINT (85166.8125 444476.4063),0.0
6673,-0.973819371792594,-3.1258835784470547,0,POINT (84985.86719 445185.6875),0.0
6674,-0.9747701335160088,-3.126633780778139,0,POINT (84833.03125 445077.6875),0.0
6675,-0.9749788562190032,-3.126557813299487,0,POINT (84801.34375 445091),0.0
6678,-0.978174821596226,-3.126626904511752,0,POINT (84306.59375 445105.2813),0.0
6680,-0.9750403761776898,-3.1201783618366377,0,POINT (84841.27344 446072.8125),0.0
6682,-0.9706228863840842,-3.1296387010943,0,POINT (85451.08594 444583.125),0.0
6683,-0.9693037028296864,-3.1326641907746744,0,POINT (85631.67188 444107.4063),0.0
6684,-0.9703131158675598,-3.133083508893217,0,POINT (85472.32031 444050.75),0.0
6686,-0.9758988124605756,-3.1259318065870123,0,POINT (84663.9375 445194.4688),0.0
6687,-0.9771171242424704,-3.1261227315404247,0,POINT (84474.0625 445174.5938),0.0
6690,-0.9766404616379976,-3.128179949819864,0,POINT (84531.82031 444854.4063),0.0
6693,-0.9769980478247048,-3.129066474136191,0,POINT (84469.64844 444720.8125),0.0
6695,-0.9777192540399468,-3.130911100223585,0,POINT (84343.8125 444442.6563),0.0
6699,-0.9768043756154996,-3.129846850000211,0,POINT (84493.54688 444599.25),0.0
6700,-0.9760307156451172,-3.1180591640546327,0,POINT (84704.57031 446406.5),0.0
6701,-0.9779061486774556,-3.115447584513032,0,POINT (84434.84375 446822.8125),0.0
6703,-0.964724916252814,-3.1125278110920727,0,POINT (86495.4375 447169.3125),0.0
6704,-0.9634909374385408,-3.1119723693597403,0,POINT (86690.51563 447245.1563),0.0
6708,-0.9787489042524145,-3.119364695156848,0,POINT (84274.15625 446226.875),0.0
6709,-0.9798021426472452,-3.1198294959039514,0,POINT (84107.69531 446163.5938),0.0
6711,-0.9792562217623112,-3.118133443436499,0,POINT (84205.26563 446420.2188),0.0
6712,-0.9805131090407416,-3.117833918727405,0,POINT (84013.25 446476.0938),0.0
6714,-0.9827273429806752,-3.118963290579222,0,POINT (83662.11719 446319.6563),0.0
6715,-0.9845791975780592,-3.119609886442871,0,POINT (83370.75781 446234.6563),0.0
6717,-0.9813164820825964,-3.116528680815635,0,POINT (83899.16406 446683.125),0.0
6718,-0.9819712215690518,-3.115578751652536,0,POINT (83805.30469 446834.3438),0.0
6719,-0.9796052994998616,-3.1148016886540373,0,POINT (84177.14063 446935.4063),0.0
6726,-0.9916530965456016,-3.1030539963044497,0,POINT (82405.80469 448836.25),0.0
6727,-0.9930873087853012,-3.1008794368054344,0,POINT (82201.01563 449181.875),0.0
6728,-0.9904783265613556,-3.1049238961275027,0,POINT (82572.86719 448539.5),0.0
6734,-0.9918507466949216,-3.115318514136798,0,POINT (82279.8125 446951.5625),0.0
6736,-0.9890128577101056,-3.112890713052812,0,POINT (82737.46875 447302.7813),0.0
6737,-0.9864580475392828,-3.11248620434116,0,POINT (83135.60938 447345.0313),0.0
6738,-0.9857238949256628,-3.1120657167407137,0,POINT (83252.38281 447403.9688),0.0
6739,-0.9869515539627324,-3.1126847893031173,0,POINT (83057.76563 447318.3438),0.0
6740,-0.9876405948526124,-3.1115701880232,0,POINT (82959.89844 447495.1563),0.0
6743,-0.9889169578474902,-3.109791129038139,0,POINT (82776.39844 447778.75),0.0
6745,-0.9896913141470984,-3.110271408373808,0,POINT (82652.94531 447710.9375),0.0
6746,-0.9893292531964304,-3.1069661615818016,0,POINT (82734.625 448216.4375),0.0
6749,-0.9873942946254736,-3.109079802176003,0,POINT (83017.33594 447876.25),0.0
6751,-0.9857461016450082,-3.108762209473746,0,POINT (83274.61719 447912.2188),0.0
