,id,a_node,b_node,length,road_type,geometry,capacity_cars,type_bike,speed_car,speed_bike,free_flow_time_car
571,108642,6851,6709,200.83532000000002,11,"LINESTRING (84107.6953125 446163.59375, 84087.046875 446283.9375, 84062.703125 446358.8125)",1500.0,None,40.0,15,18.0751788
572,108651,6711,6851,155.22498000000002,10,"LINESTRING (84205.265625 446420.21875, 84062.703125 446358.8125)",1200.0,None,35.0,15,15.965997942857143
573,108652,6851,6711,155.22498000000002,10,"LINESTRING (84205.265625 446420.21875, 84062.703125 446358.8125)",1200.0,None,35.0,15,15.965997942857143
574,108661,6712,6851,127.28120000000001,11,"LINESTRING (84013.25 446476.09375, 84062.703125 446358.8125)",1500.0,None,40.0,15,11.455308
575,108662,6851,6712,127.28120000000001,11,"LINESTRING (84013.25 446476.09375, 84062.703125 446358.8125)",1500.0,None,40.0,15,11.455308
576,108671,6540,6852,41.64848,8,"LINESTRING (84533.9609375 446926.4375, 84566.421875 446952.53125)",1800.0,None,50.0,15,2.99869056
577,108672,6852,6540,41.64848,8,"LINESTRING (84533.9609375 446926.4375, 84566.421875 446952.53125)",1800.0,None,50.0,15,2.99869056
578,108681,6541,6852,145.9823,8,"LINESTRING (84672.75 447050.59375, 84615.796875 446984.90625, 84566.421875 446952.53125)",1800.0,None,50.0,15,10.5107256
579,108682,6852,6541,145.9823,8,"LINESTRING (84672.75 447050.59375, 84615.796875 446984.90625, 84566.421875 446952.53125)",1800.0,None,50.0,15,10.5107256
580,108691,6558,6852,42.86411,10,"LINESTRING (84558.8359375 446994.71875, 84566.421875 446952.53125)",1200.0,None,35.0,15,4.408879885714286
581,108692,6852,6558,42.86411,10,"LINESTRING (84558.8359375 446994.71875, 84566.421875 446952.53125)",1200.0,None,35.0,15,4.408879885714286
582,108711,6708,6853,344.0918,10,"LINESTRING (84274.15625 446226.875, 84360.09375 445893.6875)",1200.0,None,35.0,15,35.39229942857143
583,108712,6853,6708,344.0918,10,"LINESTRING (84274.15625 446226.875, 84360.09375 445893.6875)",1200.0,None,35.0,15,35.39229942857143
584,108721,6845,6853,248.35246999999998,10,"LINESTRING (84123.0859375 445856.9375, 84201.5 445838.71875, 84360.09375 445893.6875)",1200.0,None,35.0,15,25.544825485714284
585,108722,6853,6845,248.35246999999998,10,"LINESTRING (84123.0859375 445856.9375, 84201.5 445838.71875, 84360.09375 445893.6875)",1200.0,None,35.0,15,25.544825485714284
586,108771,6815,6855,270.08533,10,"LINESTRING (83168.65625 445508.625, 83038.21875 445462.96875, 83014.7890625 445461.15625, 82955.3203125 445444.0625, 82909.3671875 445436.875)",1200.0,None,35.0,15,27.780205371428572
587,108772,6855,6815,270.08533,10,"LINESTRING (83168.65625 445508.625, 83038.21875 445462.96875, 83014.7890625 445461.15625, 82955.3203125 445444.0625, 82909.3671875 445436.875)",1200.0,None,35.0,15,27.780205371428572
588,108791,6817,6856,338.50706,10,"LINESTRING (83290.2109375 445297.71875, 83100.3984375 445281.84375, 82958.0234375 445241.3125)",1200.0,None,35.0,15,34.81786902857143
589,108792,6856,6817,338.50706,10,"LINESTRING (83290.2109375 445297.71875, 83100.3984375 445281.84375, 82958.0234375 445241.3125)",1200.0,None,35.0,15,34.81786902857143
590,108821,6687,6857,252.09135,10,"LINESTRING (84474.0625 445174.59375, 84440.65625 445290.96875, 84430.6953125 445354.03125, 84394.171875 445410.40625)",1200.0,None,35.0,15,25.929396
591,108822,6857,6687,252.09135,10,"LINESTRING (84474.0625 445174.59375, 84440.65625 445290.96875, 84430.6953125 445354.03125, 84394.171875 445410.40625)",1200.0,None,35.0,15,25.929396
592,109061,6863,6866,275.39923999999996,10,"LINESTRING (83990.3828125 444626.4375, 83980.1796875 444595.8125, 83986.984375 444543.90625, 84024.40625 444356.84375)",1200.0,None,35.0,15,28.326778971428574
